stage,split,precision,recall,f1,pr_auc,threshold,threshold_selection_rule,n_positive,n_total,dataset,seed,config_hash,timestamp_utc,mapping_variant,is_real_data
IAD,train,0.36637938955144345,0.9949598283347473,0.5355502430900642,0.5549988531146659,0.11,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",20039,68301,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
IAD,val,0.5852384062704115,0.5404101326899879,0.5619316400125431,0.46276191059968436,0.11,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",1658,10804,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
IAD,test,0.56932820628817,0.12912989944592654,0.2105131100238364,0.35056363050829475,0.11,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",19492,62990,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
LMEP,train,0.328616254181992,1.0,0.49467444515695136,0.41973252064246336,0.01,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",15814,68301,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
LMEP,val,0.10498029380150484,0.9391025641025641,0.18884950048340315,0.09171712614992898,0.01,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",312,10804,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
LMEP,test,0.07821522309711286,0.08137074203017271,0.07976178527217372,0.1569560813172631,0.01,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",14649,62990,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
IMP,train,0.553496263908376,0.7549848673669218,0.6387272898427939,0.7381809639054736,0.2,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",22468,68301,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
IMP,val,1.0,0.7611554214270317,0.8643818849449204,0.9464435791338783,0.2,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",4639,10804,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
IMP,test,0.7265394228584413,0.3415585109223949,0.46466848319709353,0.5026632999054602,0.2,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",18723,62990,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
