model,macro_f1_mean,macro_f1_std,n_seeds,f1_benign_mean,f1_benign_std,f1_iad_mean,f1_iad_std,f1_lmep_mean,f1_lmep_std,f1_imp_mean,f1_imp_std,note,dataset,seed,config_hash,timestamp_utc,mapping_variant,is_real_data
RF (feature-only),0.6146180081110075,0.0027332117647556452,3.0,1.0,0.0,0.42444269770619975,0.00669950175222666,0.5027464809970982,0.003562741092608595,0.5312828537407323,0.004700412225382022,,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
GCN (graph-only),0.3480518651157709,0.13610196523154192,3.0,0.44388437217635285,0.27244846759434865,0.2511284677343698,0.20484860203540428,0.3151403732104343,0.06899129314380775,0.3820542473419268,0.010303978948543322,,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
Late fusion (RF+GCN),0.5212669163019661,0.047273191796432634,3.0,0.852014585307459,0.10991677062307023,0.3658407783174163,0.041008475562138255,0.36801434584784887,0.08304038442116607,0.49919795573514003,0.019199792194201714,,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
Stacked RF-GCN,0.16470756068977974,0.06037777772441539,3.0,0.04560095456665936,0.05881333576273305,0.17026107639518004,0.15941185560356771,0.0,0.0,0.44296821179727947,0.04365081834253484,,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
XGBoost,0.5924381202151698,0.0010555035701575706,3.0,1.0,0.0,0.3837630713811306,0.003626707840447626,0.4889451378672816,0.00045573493908918235,0.4970442716122669,0.001019439122163921,,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
LightGBM,0.582264046423029,0.003165390401807048,3.0,1.0,0.0,0.4157013934674772,0.019552946838424005,0.4613141384465629,0.0036868156121872306,0.45204065377807606,0.004000021900167045,,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
GRU (no-graph temporal),,,,,,,,,,,,N/A for this dataset (see data-quality note).,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
GraphSAGE,0.3816072883610735,0.05757560063817699,3.0,0.3224459751885848,0.25093907335804133,0.4674367046204205,0.013547511301416076,0.3476432250211685,0.045825708702943405,0.38890324861412023,0.09977534994594257,,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
GAT,0.3354562011625018,0.14052395013901936,3.0,0.33821008583012063,0.3087132096097965,0.3127230952593827,0.15533051219794242,0.32666637528069636,0.08760625209596828,0.36422524827980746,0.07828125186013968,,edgeiiotset,42,1fb5375796c5,2026-08-11T19:40:28Z,primary,True
