model,split,macro_f1,macro_precision,macro_recall
RF,train,0.463072187458614,0.46992845025640867,0.5008992720741161
RF,val,0.423187065936138,0.41899343322729377,0.4632352941176471
RF,test,0.46763443004453414,0.4795490574749025,0.5073155216284988
GCN,train,0.6636851425600379,0.6517546555968287,0.6769674324550227
GCN,val,0.5221698076789267,0.4543971303722285,0.7202261540419999
GCN,test,0.6454879887852434,0.6057078637480933,0.7074735897553399
Stacked,train,0.696465375113988,0.6896454635835524,0.7088715388100424
Stacked,val,0.6939695008074946,0.6928397853375461,0.7368286445012788
Stacked,test,0.7184350178220235,0.7108777316849718,0.7477155254599867
