meta_learner,macro_f1,f1_benign,f1_iad,f1_lmep,f1_imp,mean_brier_score,training_time_s,dataset,seed,config_hash,timestamp_utc,mapping_variant,is_real_data
logistic_regression,0.11534561629669843,7.421976472334582e-05,0.08454864316042089,0.0,0.37675960226164945,0.42178794928846863,98.974,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
mlp,0.18744478498519992,0.0,0.29676784018569974,0.00022798084960863287,0.45278331890549134,0.3953014762570386,129.096,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
gradient_boosting,0.3075221873995525,0.356888662938485,0.46689806543821144,0.013430490070010001,0.39287153115150364,0.2530690762303884,201.367,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
