graph_mode,nodes,edges,average_degree,macro_f1,f1_benign,f1_iad,f1_lmep,f1_imp,training_time_s,inference_latency_ms,dataset,seed,config_hash,timestamp_utc,mapping_variant,is_real_data
interaction_only,142095,17685,0.2489,0.11534561629669843,7.421976472334582e-05,0.08454864316042089,0.0,0.37675960226164945,57.672,117.1937,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
temporal_only,142095,0,0.0,0.2281344361115356,0.04821034294164118,0.403759110088224,0.0,0.4605682914162772,61.137,88.6502,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
both,142095,17685,0.2489,0.11534561629669843,7.421976472334582e-05,0.08454864316042089,0.0,0.37675960226164945,58.64,87.3055,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
