component,latency_ms,dataset,seed,config_hash,timestamp_utc,mapping_variant,is_real_data
feature_aggregation (per instance),12.00570683334566,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
RF scoring (per instance),126.77358920000187,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
GCN full-graph forward pass,98.43774013334041,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
GCN node scoring (amortized per test node),0.001562751867492307,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
Stacking meta-learner (per instance),0.20167006665966863,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
"End-to-end (per instance, all applicable stages)",138.98252885187466,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
"Throughput (instances/sec, end-to-end)",7.195148974917443,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
