model,search_space,selected_hyperparameters,validation_metric,val_score,test_score,dataset,seed,config_hash,timestamp_utc,mapping_variant,is_real_data
RF,"[{'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 1}, {'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 2}, {'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 2}, {'n_estimators': 500, 'max_depth': 20, 'min_samples_leaf': 4}]","{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 2}",macro_f1,0.5473979435093882,0.6183366184579602,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
XGBoost,"[{'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1}, {'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1}, {'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05}]","{'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1}",macro_f1,0.6397795581613968,0.5931361122451837,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
LightGBM,"[{'n_estimators': 100, 'max_depth': -1, 'learning_rate': 0.1}, {'n_estimators': 300, 'max_depth': -1, 'learning_rate': 0.1}, {'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.05}]","{'n_estimators': 100, 'max_depth': -1, 'learning_rate': 0.1}",macro_f1,0.641065994947922,0.5655181754430652,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
GCN,"[{'hidden_dim': 32, 'lr': 0.005}, {'hidden_dim': 64, 'lr': 0.005}, {'hidden_dim': 64, 'lr': 0.01}]","{'hidden_dim': 64, 'lr': 0.005}",macro_f1,0.4986044423652961,0.1847256174219721,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
GraphSAGE,"[{'hidden_dim': 32, 'lr': 0.005}, {'hidden_dim': 64, 'lr': 0.005}, {'hidden_dim': 64, 'lr': 0.01}]","{'hidden_dim': 32, 'lr': 0.005}",macro_f1,0.5371142958233717,0.2987380953577789,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
GAT,"[{'hidden_dim': 32, 'lr': 0.005}, {'hidden_dim': 64, 'lr': 0.005}, {'hidden_dim': 64, 'lr': 0.01}]","{'hidden_dim': 64, 'lr': 0.005}",macro_f1,0.4158844269230435,0.5304405554171026,edgeiiotset,42,1fb5375796c5,2026-08-11T22:46:22Z,primary,True
