stage_mapping_variant,macro_f1,f1_benign,f1_iad,f1_lmep,f1_imp,pr_auc,capture_at_5pct,dataset,seed,config_hash,timestamp_utc,mapping_variant,is_real_data
primary,0.08206652353393605,0.0,0.020211195639831953,0.0032761374339653547,0.3047787610619469,,,edgeiiotset,42,1fb5375796c5,2026-08-11T15:29:29Z,primary,True
conservative,0.06701342084820519,0.0,0.04737146158290006,0.000718501411342058,0.21996372039857864,,,edgeiiotset,42,1fb5375796c5,2026-08-11T15:29:29Z,primary,True
expanded,0.08179280360050421,0.0,0.019393204802848375,0.0032794949577765026,0.304498514641392,,,edgeiiotset,42,1fb5375796c5,2026-08-11T15:29:29Z,primary,True
