split,n_samples,n_positive,roc_auc,pr_auc,f1,threshold,capture_at_1pct,capture_at_2pct,capture_at_5pct,capture_at_10pct
train,7599,347,0.9913210864219509,0.8534534239218338,0.43979721166032953,0.5,0.21902017291066284,0.4207492795389049,0.7838616714697406,0.9971181556195965
val,2520,30,0.9926171352074966,0.6648573989971526,0.4316546762589928,0.5,0.4666666666666667,0.6666666666666666,1.0,1.0
test,2531,84,0.9785305622044487,0.7440419368566641,0.4097560975609756,0.5,0.30952380952380953,0.5238095238095238,0.7619047619047619,0.8214285714285714
