model,search_space,selected_hyperparameters,validation_metric,val_score,test_score,dataset,seed,config_hash,timestamp_utc,mapping_variant,is_real_data
RF,"[{'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 1}, {'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 2}, {'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 2}, {'n_estimators': 500, 'max_depth': 20, 'min_samples_leaf': 4}]","{'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 1}",macro_f1,0.3331887201735358,0.2497829861111111,toniot,42,4fe9230d5cf4,2026-08-11T15:22:45Z,primary,True
XGBoost,"[{'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1}, {'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1}, {'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05}]","{'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1}",macro_f1,0.3331887201735358,0.24983720425439548,toniot,42,4fe9230d5cf4,2026-08-11T15:22:45Z,primary,True
LightGBM,"[{'n_estimators': 100, 'max_depth': -1, 'learning_rate': 0.1}, {'n_estimators': 300, 'max_depth': -1, 'learning_rate': 0.1}, {'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.05}]","{'n_estimators': 300, 'max_depth': -1, 'learning_rate': 0.1}",macro_f1,0.3331887201735358,0.24983720425439548,toniot,42,4fe9230d5cf4,2026-08-11T15:22:45Z,primary,True
GCN,"[{'hidden_dim': 32, 'lr': 0.005}, {'hidden_dim': 64, 'lr': 0.005}, {'hidden_dim': 64, 'lr': 0.01}]","{'hidden_dim': 64, 'lr': 0.005}",macro_f1,0.43001207729468605,0.32077526132404177,toniot,42,4fe9230d5cf4,2026-08-11T15:22:45Z,primary,True
GraphSAGE,"[{'hidden_dim': 32, 'lr': 0.005}, {'hidden_dim': 64, 'lr': 0.005}, {'hidden_dim': 64, 'lr': 0.01}]","{'hidden_dim': 64, 'lr': 0.005}",macro_f1,0.6665038002171553,0.4329529812359632,toniot,42,4fe9230d5cf4,2026-08-11T15:22:45Z,primary,True
GAT,"[{'hidden_dim': 32, 'lr': 0.005}, {'hidden_dim': 64, 'lr': 0.005}, {'hidden_dim': 64, 'lr': 0.01}]","{'hidden_dim': 32, 'lr': 0.005}",macro_f1,0.3747829861111111,0.33289892846799884,toniot,42,4fe9230d5cf4,2026-08-11T15:22:45Z,primary,True
