delta_t_seconds,graph_nodes,graph_edges,average_degree,macro_f1,f1_benign,f1_iad,f1_lmep,f1_imp,pr_auc,capture_at_5pct,dataset,seed,config_hash,timestamp_utc,mapping_variant,is_real_data
30,11536,11555,2.0033,0.49940126279120395,0.997605051164816,0.0,0.6666666666666666,0.3333333333333333,,,toniot,42,4fe9230d5cf4,2026-08-11T20:44:15Z,primary,True
60,11536,11555,2.0033,0.49940126279120395,0.997605051164816,0.0,0.6666666666666666,0.3333333333333333,,,toniot,42,4fe9230d5cf4,2026-08-11T20:44:15Z,primary,True
120,11536,11555,2.0033,0.49940126279120395,0.997605051164816,0.0,0.6666666666666666,0.3333333333333333,,,toniot,42,4fe9230d5cf4,2026-08-11T20:44:15Z,primary,True
300,11536,11555,2.0033,0.49940126279120395,0.997605051164816,0.0,0.6666666666666666,0.3333333333333333,,,toniot,42,4fe9230d5cf4,2026-08-11T20:44:15Z,primary,True
