graph_mode,nodes,edges,average_degree,macro_f1,f1_benign,f1_iad,f1_lmep,f1_imp,training_time_s,inference_latency_ms,dataset,seed,config_hash,timestamp_utc,mapping_variant,is_real_data
interaction_only,11536,11555,2.0033,0.3430966898954704,0.9973867595818815,0.0,0.0,0.375,17.938,45.4283,toniot,42,4fe9230d5cf4,2026-08-11T15:20:17Z,primary,True
temporal_only,11536,0,0.0,0.24951097587480983,0.9980439034992393,0.0,0.0,0.0,11.118,13.58,toniot,42,4fe9230d5cf4,2026-08-11T15:20:17Z,primary,True
both,11536,11555,2.0033,0.3430966898954704,0.9973867595818815,0.0,0.0,0.375,14.903,19.6862,toniot,42,4fe9230d5cf4,2026-08-11T15:20:17Z,primary,True
