split,n_samples,n_positive,roc_auc,pr_auc,f1,threshold,capture_at_1pct,capture_at_2pct,capture_at_5pct,capture_at_10pct
train,7599,347,0.9845961205574215,0.6869959942220426,0.3575476558475013,0.5,0.17579250720461095,0.3170028818443804,0.6858789625360231,0.9740634005763689
val,2520,30,0.9862115127175368,0.39162479920129883,0.36809815950920244,0.5,0.26666666666666666,0.5666666666666667,1.0,1.0
test,2531,84,0.9505857512600463,0.23983994284670185,0.3407707910750507,0.5,0.023809523809523808,0.09523809523809523,0.32142857142857145,0.8809523809523809
