model,macro_f1_mean,macro_f1_std,n_seeds,f1_benign_mean,f1_benign_std,f1_iad_mean,f1_iad_std,f1_lmep_mean,f1_lmep_std,f1_imp_mean,f1_imp_std,dataset,seed,config_hash,timestamp_utc,mapping_variant,is_real_data
RF (feature-only),0.24983720425439548,0.0,3,0.9993488170175819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
GCN (graph-only),0.3677823779211829,0.04749945297649193,3,0.9981136386688587,0.0006250997769542495,0.13333333333333333,0.1885618083164127,0.0,0.0,0.33968253968253964,0.046872454159471125,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
Late fusion (RF+GCN),0.3390685039082238,0.06351835094786967,3,0.9991311584900382,0.00017742272923062721,0.16666666666666666,0.23570226039551584,0.0,0.0,0.19047619047619047,0.2693740118805895,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
Stacked RF-GCN,0.3088595920512505,0.047019623580351604,3,0.9982588810255152,0.0008155284405723528,0.0,0.0,0.0,0.0,0.2371794871794872,0.1886402431995149,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
XGBoost,0.24983720425439548,0.0,3,0.9993488170175819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
LightGBM,0.24983720425439548,0.0,3,0.9993488170175819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
GRU (no-graph temporal),0.3385993249508759,0.007831116667796094,3,0.9988417442479482,0.00010250138155116765,0.0,0.0,0.0,0.0,0.35555555555555557,0.03142696805273547,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
GraphSAGE,0.36211785729570045,0.05034301975922365,3,0.9976777783891508,0.0009825966477257444,0.13333333333333333,0.1885618083164127,0.1111111111111111,0.15713484026367722,0.20634920634920637,0.14720029357929687,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
GAT,0.35257588121168215,0.07401167414092713,3,0.9976051121483159,0.0017165370014277962,0.0,0.0,0.0,0.0,0.41269841269841273,0.29440058715859374,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
