stage,split,precision,recall,f1,pr_auc,threshold,threshold_selection_rule,n_positive,n_total,dataset,seed,config_hash,timestamp_utc,mapping_variant,is_real_data
IAD,train,0.2857142857142857,1.0,0.4444444444444444,0.29166666666666663,0.5,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",2,6922,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
IAD,val,0.0,0.0,0.0,,0.5,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",0,2307,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
IAD,test,0.0,0.0,0.0,0.05263157894736842,0.5,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",1,2307,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
LMEP,train,0.125,1.0,0.2222222222222222,0.8666666666666667,0.01,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",3,6922,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
LMEP,val,0.0,0.0,0.0,0.125,0.01,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",1,2307,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
LMEP,test,0.3333333333333333,1.0,0.5,0.3333333333333333,0.01,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",1,2307,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
IMP,train,1.0,0.5,0.6666666666666666,0.645353302611367,0.9500000000000001,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",6,6922,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
IMP,val,1.0,0.5,0.6666666666666666,0.5909090909090909,0.9500000000000001,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",2,2307,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
IMP,test,0.0,0.0,0.0,0.3402777777777778,0.9500000000000001,"threshold in [0.01, 0.99] (step 0.01) maximizing one-vs-rest F1 on the VALIDATION split; applied unchanged to TEST (test never used for threshold selection)",3,2307,toniot,42,4fe9230d5cf4,2026-08-11T19:39:25Z,primary,True
